Date,Open,High,Low,Close,Volume,Adj Close
4/12/2013,158.679993,159.039993,157.919998,158.800003,116359900,151.931804
4/11/2013,158.699997,159.710007,158.539993,159.190002,110142500,152.304936
4/10/2013,157.169998,158.869995,157.130005,158.669998,135711100,151.807422
4/9/2013,156.5,157.320007,155.979996,156.75,101922200,149.970465
4/8/2013,155.270004,156.220001,154.75,156.210007,86571200,149.453827
4/5/2013,153.949997,155.350006,153.770004,155.160004,159666000,148.449237
4/4/2013,155.429993,156.169998,155.089996,155.860001,131885000,149.118959
4/3/2013,156.910004,157.029999,154.820007,155.229996,154167400,148.516202
4/2/2013,156.610001,157.210007,156.369995,156.820007,101504300,150.037445
4/1/2013,156.589996,156.910004,155.669998,156.050003,99194100,149.300744
3/28/2013,156.089996,156.850006,155.75,156.669998,102932800,149.893924
3/27/2013,155.259995,156.240005,155,156.190002,99950600,149.434688
3/26/2013,155.589996,156.229996,155.419998,156.190002,86856600,149.434688
3/25/2013,156.009995,156.270004,154.350006,154.949997,151322300,148.248313
3/22/2013,154.850006,155.600006,154.729996,155.600006,111163600,148.870209
3/21/2013,154.759995,155.639999,154.100006,154.360001,128605000,147.683835
3/20/2013,155.520004,155.949997,155.259995,155.690002,113759300,148.956313
3/19/2013,155.300003,155.509995,153.589996,154.610001,167567300,147.923022
3/18/2013,154.339996,155.639999,154.199997,154.970001,126704300,148.267453
3/15/2013,155.850006,156.039993,155.309998,155.830002,138601100,149.090258
3/14/2013,156.309998,156.800003,155.910004,156.729996,126329900,149.287337
3/13/2013,155.759995,156.119995,155.229996,155.899994,92550900,148.496749
3/12/2013,155.919998,156.100006,155.210007,155.679993,105755800,148.287195
3/11/2013,155.320007,156.039993,155.130005,156.029999,83746800,148.62058
3/8/2013,155.460007,155.649994,154.660004,155.440002,123477800,148.058601
3/7/2013,154.699997,154.979996,154.520004,154.779999,86101400,147.429939
3/6/2013,154.839996,154.919998,154.160004,154.5,94469900,147.163237
3/5/2013,153.660004,154.699997,153.639999,154.289993,121431900,146.963203
3/4/2013,151.759995,152.919998,151.520004,152.919998,99010200,145.658265
3/1/2013,151.089996,152.339996,150.410004,152.110001,170634800,144.886732
2/28/2013,151.899994,152.869995,151.410004,151.610001,126866000,144.410475
2/27/2013,149.889999,152.330002,149.759995,151.910004,150781900,144.696232
2/26/2013,149.720001,150.199997,148.729996,150.020004,186596200,142.895983
2/25/2013,152.630005,152.860001,149,149,245824800,141.924416
2/22/2013,151.149994,151.889999,150.490005,151.889999,106356600,144.677178
2/21/2013,150.960007,151.419998,149.940002,150.419998,183257000,143.276983
2/20/2013,153.139999,153.190002,151.259995,151.339996,160574800,144.153293
2/19/2013,152.369995,153.279999,152.160004,153.25,95105400,145.972596
2/15/2013,152.429993,152.589996,151.550003,152.110001,215226500,144.886732
2/14/2013,151.690002,152.470001,151.520004,152.289993,80834300,145.058177
2/13/2013,152.330002,152.610001,151.720001,152.149994,82322600,144.924826
2/12/2013,151.779999,152.300003,151.610001,152.020004,65392700,144.801009
2/11/2013,151.740005,151.899994,151.389999,151.770004,73775000,144.562881
2/8/2013,151.220001,151.889999,151.220001,151.800003,103133700,144.591455
2/7/2013,151.210007,151.350006,149.860001,150.960007,162490000,143.791348
2/6/2013,150.520004,151.259995,150.410004,151.160004,138762800,143.981847
2/5/2013,150.350006,151.479996,150.289993,151.050003,113912400,143.87707
2/4/2013,150.320007,151.270004,149.429993,149.539993,159073600,142.438767
2/1/2013,150.649994,151.419998,150.389999,151.240005,131173000,144.05805
1/31/2013,149.889999,150.380005,149.600006,149.699997,108975800,142.591172
1/30/2013,150.639999,150.940002,149.929993,150.070007,137447700,142.943612
1/29/2013,149.770004,150.850006,149.669998,150.660004,105694400,143.505591
1/28/2013,150.289993,150.330002,149.509995,150.070007,113357700,142.943612
1/25/2013,149.880005,150.25,149.369995,150.25,147211600,143.115057
1/24/2013,149.149994,150.139999,149.009995,149.410004,146426400,142.31495
1/23/2013,149.130005,149.5,148.860001,149.369995,104596100,142.276841
1/22/2013,148.330002,149.130005,147.979996,149.130005,111797300,142.048248
1/18/2013,147.970001,148.490005,147.429993,148.330002,169906000,141.286234
1/17/2013,147.699997,148.419998,147.149994,148,133833500,140.971903
1/16/2013,146.770004,147.279999,146.610001,147.050003,104849500,140.067019
1/15/2013,146.289993,147.210007,146.199997,147.070007,93172600,140.086073
1/14/2013,146.889999,147.070007,146.429993,146.970001,89567200,139.990816
1/11/2013,147.039993,147.149994,146.610001,147.070007,113917300,140.086073
1/10/2013,146.729996,147.089996,145.970001,147.080002,130735400,140.095593
